"allergen_code","allergy_category_code","id","allergen_fsn","allergy_category_fsn","preferred_term_en","preferred_term_pt","synonym_1","synonym_2"
"765098000","762766007","1","Abalone (substance)","Edible substance (substance)","Abalone","Abalone"," "," "
"1285117000","115668003","2","Acacia longifolia pollen (substance)","Biological substance (substance)","Acacia longifolia pollen","Pólen de Acacia longifolia","Pólen de acácia"," "
"387440002","115668003","3","Acetylcysteine (substance)","Biological substance (substance)","Acetylcysteine","Acetilcisteína"," "," "
"418920007","37877001","4","Adhesive agent (substance)","Environmental agent (qualifier value)","Adhesive agent ","Adesivo","Emplastro"," "
"14423008","0","5","Adhesive bandage, device (physical object)"," ","Adhesive bandage","Pensos rápidos","Pensos rápidos"," "
"1285426005","115668003","6","Aedes communis venom (substance)","Biological substance (substance)","Aedes communis venom","Veneno de Aedes communis","Veneno de mosquito comum"," "
"1264571004","115668003","7","Agrostis stolonifera pollen (substance)","Biological substance (substance)","Agrostis stolonifera pollen","Pólen de Agrostis stolonifera "," "," "
"52454007","115668003","8","Albumin (substance)","Biological substance (substance)","Albumin","Albumina"," "," "
"1263994003","762766007","9","Alces meat (substance)","Edible substance (substance)","Alces meat","Carne de Alces","Carne de alce"," "
"227375005","762766007","10","Allspice (substance)","Edible substance (substance)","Allspice","Pimenta-da-jamaica","Pimenta dioica","Pimenta-de-coroa"
"256350002","762766007","11","Almond (substance)","Edible substance (substance)","Almond","Amêndoa"," "," "
"391737006","115668003","12","Almond oil (substance)","Biological substance (substance)","Almond oil","Óleo de amêndoa","Óleo de amêndoa doce"," "
"102698008","762766007","13","Alpha-lactalbumin (substance)","Edible substance (substance)","Alpha-lactalbumin","Alfa-lactalbumina"," "," "
"12503006","37877001","14","Aluminum (substance)","Environmental agent (qualifier value)","Aluminum ","Alumínio"," "," "
"698727000","115668003","15","Amaranthus palmeri pollen (substance)","Biological substance (substance)","Amaranthus palmeri pollen","Pólen de Amaranthus palmeri"," "," "
"260113002","115668003","16","Amaranthus retroflexus pollen (substance)","Biological substance (substance)","Amaranthus retroflexus pollen","Pólen de Amaranthus retroflexus","Pólen de beldros","Pólen de carurú-gigante"
"1285118005","115668003","17","Amaranthus tuberculatus pollen (substance)","Biological substance (substance)","Amaranthus tuberculatus pollen","Pólen de Amaranthus tuberculatus","Pólen de amaranto de frutos-de-rícino","Pólen de cânhamo-de-água-de-fruta-áspera"
"698721004","115668003","18","Ambrosia artemisiifolia pollen (substance)","Biological substance (substance)","Ambrosia artemisiifolia pollen","Pólen de Ambrosia artemisiifolia","Pólen de ambrósia"," "
